key,variance,split
carrot,0.7881441937512156,vg_noun
cart,0.8248737565524884,vg_noun
case,0.8651609039598891,vg_noun
cat,0.7275990439028681,vg_noun
catcher,0.598620463462941,vg_noun
ceiling,0.7779373248169978,vg_noun
chain,0.7773093045816076,vg_noun
chair,0.8213493299251856,vg_noun
cheese,0.776492864479647,vg_noun
chicken,0.7500788829479529,vg_noun
child,0.8666850278128893,vg_noun
chump,0.7422129161814447,vg_noun
circle,0.738556258802253,vg_noun
city,0.8142129393261242,vg_noun
clock,0.6871636240916106,vg_noun
cloud,0.8012522285369003,vg_noun
coat,0.7867238238585448,vg_noun
cockpit,0.6941301142634425,vg_noun
collar,0.7712993783199893,vg_noun
column,0.8151359559783062,vg_noun
computer,0.73843060862372,vg_noun
concrete,0.8874668186898673,vg_noun
cone,0.6363979959325434,vg_noun
container,0.8089330354396693,vg_noun
cord,0.7832795870830114,vg_noun
corner,0.864848185763533,vg_noun
counter,0.8441287603240657,vg_noun
court,0.6059179500130208,vg_noun
cow,0.7384849682865556,vg_noun
crack,0.8512114082195036,vg_noun
crowd,0.7904815136804604,vg_noun
cup,0.7325385084945985,vg_noun
curb,0.846814868363212,vg_noun
curtain,0.7903019097634252,vg_noun
decoration,0.8049881741373118,vg_noun
design,0.8264270797019276,vg_noun
desk,0.7926893220447064,vg_noun
dish,0.8287837800030398,vg_noun
display,0.8647995468858221,vg_noun
distance,0.8802731105540366,vg_noun
dock,0.8000487875073866,vg_noun
dog,0.9159630149246021,vg_noun
door,0.810273694611599,vg_noun
drawer,0.7647148794147195,vg_noun
dress,0.7895726078270593,vg_noun
duck,0.81664493846084,vg_noun
ear,0.6776068247692862,vg_noun
edge,0.8381088692742926,vg_noun
egg,0.7460066138250866,vg_noun
elephant,0.5461056199562992,vg_noun
engine,0.7758328700486878,vg_noun
eye,0.5727318915336541,vg_noun
eyelid,0.7459291308738246,vg_noun
fabric,0.8705710350273166,vg_noun
face,0.813010658140977,vg_noun
faucet,0.6296784396198346,vg_noun
feather,0.812064126980246,vg_noun
female,0.847396555787029,vg_noun
fence,0.864753237924873,vg_noun
field,0.8280713019531981,vg_noun
finger,0.6526945440532439,vg_noun
fireplug,0.7558075632042162,vg_noun
flag,0.712636079345438,vg_noun
floor,0.8621439304132086,vg_noun
flower,0.7787126735834822,vg_noun
food,0.819760863521383,vg_noun
foot,0.7111792752384671,vg_noun
fork,0.742848025077673,vg_noun
frame,0.8501452190811676,vg_noun
frisbee,0.6799911219585315,vg_noun
fruit,0.8255938958796585,vg_noun
fur,0.8765002471248697,vg_noun
giraffe,0.7550127146179787,vg_noun
girl,0.8403043386530218,vg_noun
glass,0.7760799414247345,vg_noun
goat,0.7781595842228567,vg_noun
goggles,0.5101220350257609,vg_noun
graffito,0.8332723023576645,vg_noun
grass,0.8501390258434951,vg_noun
gravel,0.8809687140280534,vg_noun
group,0.9113291343629251,vg_noun
guy,0.8285902374191938,vg_noun
hair,0.7347961221661767,vg_noun
hand,0.7084954498488976,vg_noun
handle,0.7111090785273367,vg_noun
hat,0.6599850820123624,vg_noun
head,0.816619756439254,vg_noun
headlight,0.6124820421799309,vg_noun
helium,0.8516402180278162,vg_noun
hill,0.85043144717189,vg_noun
holder,0.7230772025201367,vg_noun
hole,0.7390769253358059,vg_noun
hoof,0.5677850110283219,vg_noun
horn,0.6072455562784446,vg_noun
horse,0.6856847396902829,vg_noun
hotdog,0.7286762953603875,vg_noun
house,0.8285122811908334,vg_noun
inscription,0.7457176796240014,vg_noun
internet,0.8156937924749971,vg_noun
item,0.8233589721641388,vg_noun
ivory,0.6311397182190118,vg_noun
jacket,0.7666724073603529,vg_noun
jar,0.7201863261045747,vg_noun
jean,0.7614602231430073,vg_noun
jet,0.661228435717055,vg_noun
key,0.7600753929139052,vg_noun
keyboard,0.7662829241407575,vg_noun
kitchen,0.7097058981609052,vg_noun
knee,0.6489231767996544,vg_noun
knife,0.766726317236287,vg_noun
label,0.6946481965114478,vg_noun
lady,0.8116678450936521,vg_noun
lake,0.8302247810804951,vg_noun
lamp,0.7026984002438238,vg_noun
laptop,0.7603579373774196,vg_noun
leaf,0.8379121844562583,vg_noun
leg,0.8391392831026184,vg_noun
letter,0.7522694810672019,vg_noun
light,0.6970310429630672,vg_noun
line,0.8700953450758856,vg_noun
log,0.8233354873080666,vg_noun
logo,0.6530577796051356,vg_noun
male,0.8363786773437962,vg_noun
man,0.8416518045345545,vg_noun
mane,0.8326489657348227,vg_noun
mark,0.8139971261361425,vg_noun
measure,0.8124691482100722,vg_noun
meat,0.7448510426755689,vg_noun
meter,0.8416709439085012,vg_noun
mirror,0.8193423331695114,vg_noun
monocle,0.6326614329449154,vg_noun
motorcycle,0.6612700388024914,vg_noun
mountain,0.8237017259183305,vg_noun
mouse,0.6538177744960999,vg_noun
mouth,0.6419216488661923,vg_noun
name,0.720099596694338,vg_noun
napkin,0.7884081827184143,vg_noun
neck,0.822652671126874,vg_noun
necklace,0.669724225995457,vg_noun
necktie,0.7642914746528955,vg_noun
nose,0.6237810913479502,vg_noun
numeral,0.5915628317004595,vg_noun
object,0.7846819754136024,vg_noun
ocean,0.7848525439298951,vg_noun
onion,0.7528299202100243,vg_noun
oven,0.7488684863656,vg_noun
paint,0.8559867124159589,vg_noun
painting,0.7652461570755271,vg_noun
pan,0.8279463866303972,vg_noun
paper,0.8178956219337872,vg_noun
park,0.7933458417560982,vg_noun
part,0.8281041450332253,vg_noun
pavement,0.8494916517164959,vg_noun
paw,0.6716617396760092,vg_noun
pen,0.8408702272223116,vg_noun
people,0.8230177179139735,vg_noun
pepper,0.7702293408732184,vg_noun
person,0.8151159335819503,vg_noun
photograph,0.9500849505287778,vg_noun
picture,0.809888222791243,vg_noun
pillow,0.769263080957494,vg_noun
pipe,0.8029063924839298,vg_noun
pitcher,0.8234201361566866,vg_noun
pizza,0.6602806550356811,vg_noun
plant,0.8712617133407108,vg_noun
platform,0.8073972709766288,vg_noun
player,0.6364938299030239,vg_noun
pocket,0.688743684673829,vg_noun
pole,0.7821478920389141,vg_noun
post,0.7911757244548576,vg_noun
poster,0.7521673260397993,vg_noun
pot,0.7335316296976848,vg_noun
propeller,0.710587460566662,vg_noun
rack,0.8160564472472434,vg_noun
railing,0.8368121382532797,vg_noun
ramp,0.8318118299548016,vg_noun
refrigerator,0.7395745745384706,vg_noun
ring,0.5757354310114547,vg_noun
ripple,0.8386139783283988,vg_noun
river,0.8421733636290745,vg_noun
road,0.8256588426683182,vg_noun
rock,0.8183018817257571,vg_noun
roof,0.812104188889275,vg_noun
room,0.779597386166871,vg_noun
rope,0.8623808093754245,vg_noun
row,0.9057610165913663,vg_noun
rubbish,0.7579865245536771,vg_noun
rug,0.8474136696367058,vg_noun
salad,0.7127434050497656,vg_noun
sand,0.856242298446534,vg_noun
sandal,0.6381726846402515,vg_noun
sandwich,0.6923380640088536,vg_noun
sauce,0.8097177360479972,vg_noun
scarf,0.7331935548768247,vg_noun
scissors,0.8290802309736847,vg_noun
screen,0.8065315186892856,vg_noun
seat,0.8186328711229435,vg_noun
shade,0.8665606772487368,vg_noun
shadow,0.8946963206538203,vg_noun
sheep,0.7307146211991108,vg_noun
sheet,0.8432082034252336,vg_noun
shelf,0.7928336657301963,vg_noun
shirt,0.7947091896968774,vg_noun
shoe,0.6856892248889639,vg_noun
shop,0.7816059583032465,vg_noun
shore,0.8766387787262491,vg_noun
shoulder,0.7087184469011554,vg_noun
shrub,0.8316909495265912,vg_noun
side,0.9192852116124954,vg_noun
sidewalk,0.8242892090679445,vg_noun
sink,0.7687697346158712,vg_noun
skateboard,0.7315347023085642,vg_noun
skateboarder,0.7371827627982372,vg_noun
ski,0.747261061811154,vg_noun
skier,0.6040662988248922,vg_noun
skirt,0.7420975567349797,vg_noun
sky,0.8194109890576756,vg_noun
sleeve,0.7578937444356785,vg_noun
slice,0.7484965777586463,vg_noun
slope,0.6772763288594579,vg_noun
smoke,0.8616984778919008,vg_noun
snow,0.7648629707053507,vg_noun
snowboard,0.7441597472223637,vg_noun
snowboarder,0.5889140084400418,vg_noun
sock,0.6655009002175424,vg_noun
sofa,0.7925289979530054,vg_noun
spectacles,0.6172193014591192,vg_noun
spectator,0.8141034551185112,vg_noun
spoon,0.7420138719850494,vg_noun
star,0.661604719866626,vg_noun
station,0.7383575130545791,vg_noun
statue,0.7842247653915827,vg_noun
stick,0.8441873699903457,vg_noun
stove,0.7768130721791587,vg_noun
strap,0.745995708893737,vg_noun
street,0.8055179906017443,vg_noun
string,0.8565751875985019,vg_noun
suit,0.8023446688198805,vg_noun
sun,0.868661156617672,vg_noun
sunglasses,0.5502937038439741,vg_noun
surfboard,0.8024517665823071,vg_noun
surfer,0.7256521038666108,vg_noun
sweater,0.8100268039127521,vg_noun
tag,0.6230294344760247,vg_noun
tail,0.8143715682453734,vg_noun
teddy,0.7388813485531757,vg_noun
telephone,0.7161785601117086,vg_noun
television,0.6763583966546092,vg_noun
thunderbolt,0.5540203172899084,vg_noun
tile,0.8236929667097279,vg_noun
tip,0.6354103834439191,vg_noun
tire,0.7815093845226556,vg_noun
toilet,0.6223678203990225,vg_noun
tomato,0.7195393609321236,vg_noun
tooth,0.5852628634320401,vg_noun
toothbrush,0.7838029434667237,vg_noun
topping,0.7777492246242452,vg_noun
towel,0.7656233290744889,vg_noun
tower,0.8113788148320847,vg_noun
train,0.6879388854658084,vg_noun
tray,0.845968056057752,vg_noun
tree,0.8550491463925796,vg_noun
trouser,0.7779465111237264,vg_noun
truck,0.769233695728703,vg_noun
trunk,0.847020985402846,vg_noun
umbrella,0.8219718218028413,vg_noun
umpire,0.6267627204146455,vg_noun
uniform,0.7362073907335068,vg_noun
vase,0.7673566998848201,vg_noun
vegetable,0.7949845865871664,vg_noun
vehicle,0.8010951826463755,vg_noun
