n_image,percentage,split
6,0.9972167817750748,vrd_noun
6,0.9972167817750748,vrd_noun
6,0.9957736315843727,vrd_noun
7,0.9960828780538089,vrd_noun
7,0.9977321925574683,vrd_noun
7,0.9975260282445109,vrd_noun
7,0.9980414390269045,vrd_noun
7,0.9970106174621173,vrd_noun
7,0.9969075353056386,vrd_noun
7,0.9979383568704258,vrd_noun
7,0.9978352747139471,vrd_noun
7,0.9978352747139471,vrd_noun
7,0.9974229460880322,vrd_noun
8,0.9980414390269045,vrd_noun
8,0.9970106174621173,vrd_noun
8,0.9959797958973302,vrd_noun
8,0.9980414390269045,vrd_noun
8,0.9972167817750748,vrd_noun
8,0.9964952066797237,vrd_noun
8,0.9965982888362025,vrd_noun
8,0.9974229460880322,vrd_noun
8,0.9979383568704258,vrd_noun
8,0.9978352747139471,vrd_noun
9,0.9977321925574683,vrd_noun
9,0.9982476033398618,vrd_noun
9,0.9964952066797237,vrd_noun
9,0.998556849809298,vrd_noun
9,0.9979381443298969,vrd_noun
9,0.9974229460880322,vrd_noun
9,0.9978352747139471,vrd_noun
9,0.9984537676528193,vrd_noun
9,0.9981445211833831,vrd_noun
9,0.9979383568704258,vrd_noun
10,0.9964952066797237,vrd_noun
10,0.9977321925574683,vrd_noun
10,0.9978352747139471,vrd_noun
10,0.9976291104009896,vrd_noun
10,0.9974229460880322,vrd_noun
10,0.9964952066797237,vrd_noun
10,0.9983506854963405,vrd_noun
10,0.998556849809298,vrd_noun
10,0.9974229460880322,vrd_noun
10,0.9977321925574683,vrd_noun
11,0.9977321925574683,vrd_noun
11,0.9974229460880322,vrd_noun
11,0.9962890423667663,vrd_noun
11,0.9969075353056386,vrd_noun
11,0.9977321925574683,vrd_noun
11,0.998556849809298,vrd_noun
11,0.9988660962787341,vrd_noun
11,0.9976291104009896,vrd_noun
11,0.9965982888362025,vrd_noun
11,0.9981445211833831,vrd_noun
12,0.997113699618596,vrd_noun
12,0.9974229460880322,vrd_noun
12,0.9970106174621173,vrd_noun
12,0.9982476033398618,vrd_noun
12,0.9967013709926812,vrd_noun
12,0.9976291104009896,vrd_noun
12,0.9980414390269045,vrd_noun
12,0.9977321925574683,vrd_noun
12,0.9979383568704258,vrd_noun
12,0.9967013709926812,vrd_noun
13,0.9977321925574683,vrd_noun
13,0.9982476033398618,vrd_noun
13,0.9983506854963405,vrd_noun
13,0.9976291104009896,vrd_noun
13,0.9975260282445109,vrd_noun
13,0.9982476033398618,vrd_noun
13,0.9980414390269045,vrd_noun
13,0.9984537676528193,vrd_noun
13,0.9974229460880322,vrd_noun
13,0.9973198639315535,vrd_noun
14,0.9979383568704258,vrd_noun
14,0.9976291104009896,vrd_noun
14,0.9964952066797237,vrd_noun
14,0.997113699618596,vrd_noun
14,0.9984537676528193,vrd_noun
14,0.9983506854963405,vrd_noun
14,0.9978352747139471,vrd_noun
14,0.9973198639315535,vrd_noun
14,0.9970106174621173,vrd_noun
14,0.9972167817750748,vrd_noun
15,0.9981445211833831,vrd_noun
15,0.9972167817750748,vrd_noun
15,0.9974229460880322,vrd_noun
15,0.9976291104009896,vrd_noun
15,0.9982476033398618,vrd_noun
15,0.997113699618596,vrd_noun
15,0.9983506854963405,vrd_noun
15,0.9968044531491599,vrd_noun
15,0.9976291104009896,vrd_noun
15,0.9980414390269045,vrd_noun
16,0.9975260282445109,vrd_noun
16,0.9979383568704258,vrd_noun
16,0.9980414390269045,vrd_noun
16,0.9988660962787341,vrd_noun
16,0.9973198639315535,vrd_noun
16,0.9975260282445109,vrd_noun
16,0.9984537676528193,vrd_noun
16,0.9976291104009896,vrd_noun
16,0.9975260282445109,vrd_noun
16,0.9970106174621173,vrd_noun
17,0.9983506854963405,vrd_noun
17,0.9978352747139471,vrd_noun
17,0.9972167817750748,vrd_noun
17,0.9978352747139471,vrd_noun
17,0.998556849809298,vrd_noun
17,0.9986599319657767,vrd_noun
17,0.9976291104009896,vrd_noun
17,0.9981445211833831,vrd_noun
17,0.997113699618596,vrd_noun
17,0.9984537676528193,vrd_noun
18,0.9987630141222554,vrd_noun
18,0.9972167817750748,vrd_noun
18,0.998556849809298,vrd_noun
18,0.9975260282445109,vrd_noun
18,0.998556849809298,vrd_noun
18,0.9974229460880322,vrd_noun
18,0.9975260282445109,vrd_noun
18,0.9979383568704258,vrd_noun
18,0.9979383568704258,vrd_noun
18,0.9974229460880322,vrd_noun
19,0.9979383568704258,vrd_noun
19,0.9978352747139471,vrd_noun
19,0.9984537676528193,vrd_noun
19,0.9983506854963405,vrd_noun
19,0.9980414390269045,vrd_noun
19,0.998556849809298,vrd_noun
19,0.9980414390269045,vrd_noun
19,0.9981445211833831,vrd_noun
19,0.9976291104009896,vrd_noun
19,0.998556849809298,vrd_noun
20,0.9982476033398618,vrd_noun
20,0.9978352747139471,vrd_noun
20,0.9983506854963405,vrd_noun
20,0.9980414390269045,vrd_noun
20,0.9976291104009896,vrd_noun
20,0.9975257731958763,vrd_noun
20,0.9973198639315535,vrd_noun
20,0.9976291104009896,vrd_noun
20,0.9980414390269045,vrd_noun
20,0.9983506854963405,vrd_noun
21,0.9957736315843727,vrd_noun
21,0.9976291104009896,vrd_noun
21,0.9978352747139471,vrd_noun
21,0.9977321925574683,vrd_noun
21,0.9979383568704258,vrd_noun
21,0.9976291104009896,vrd_noun
21,0.9975260282445109,vrd_noun
21,0.9984537676528193,vrd_noun
21,0.997113699618596,vrd_noun
21,0.9973198639315535,vrd_noun
22,0.9977321925574683,vrd_noun
22,0.9980414390269045,vrd_noun
